STAT JJJJMMDD QN     TG     TN     TM     TX    RFM     FM     FX     SO     NM     RR     PM
10315 20221007  1    3.0    5.7   11.2   17.6   75.5    2.0    9.8   10.0    3.3    0.9 1015.9
10315 20221006  1    3.2    6.2   12.9   17.5   73.5    3.0   13.7    9.9    0.9    0.0 1020.8
10315 20221005  1    9.7   11.1   15.7   20.2   73.3    3.0   17.0    4.0    6.7    0.7 1009.6
10315 20221004  1    5.9    7.9   12.4   18.6   79.2    2.0    7.5    8.7    6.3    0.0 1014.4
10315 20221003  1    3.3    5.4   11.1   16.7   85.3    2.0    6.7    5.1    4.0    0.0 1019.4
10315 20221002  1    5.7    8.6   13.3   18.4   79.2    3.0   11.8    5.8    3.4    0.0 1010.9
10315 20221001  1    9.5    9.9   12.9   17.5   82.1    3.0   16.8    3.2    6.2    7.1  999.5
10315 20220930  1    0.8    3.1    9.9   16.5   76.9    2.0    9.4    9.1    2.7   11.0 1002.9
10315 20220929  1    1.7    4.0    9.0   15.9   82.7    1.0    6.2    7.1    2.8    0.0  996.9
10315 20220928  1    5.3    7.2    9.7   13.9   82.4    2.0    6.3    4.3           0.1  990.7
10315 20220927  1    7.4    8.1   10.1   13.1   85.3    3.0   12.9    2.5    7.5    5.1  990.0
10315 20220926  1    8.6    9.5   11.0   12.6   86.5    3.0   13.7    0.0    7.6    8.2  994.3
10315 20220925  1    4.6    6.7   11.8   17.6   79.0    2.0    8.2    8.0    3.4    0.0 1007.0
10315 20220924  1   11.0   11.4   13.1   15.9   88.1    2.0    7.2    0.0    7.7    0.5 1006.9
10315 20220923  1    4.2    6.9   12.3   17.6   73.5    1.0    4.3    2.8    7.7    1.8 1009.9
10315 20220922  1    1.5    3.9   10.4   18.7   77.4    1.0    7.2    8.8    2.0    0.0 1016.5
10315 20220921  1    2.5    4.3    9.5   16.9   83.2    1.0    3.6    6.4    3.5    0.0 1020.2
10315 20220920  1    3.8    6.1   10.7   16.8   80.1    2.0    9.4    5.2    4.5    0.5 1016.7
10315 20220919  1    6.6    8.4   12.1   17.7   81.1    3.0   15.1    4.7    6.5    3.2 1011.6
10315 20220918  1    8.4    9.5   10.7   12.1   87.0    3.0   10.3    0.0    7.4    8.9 1006.4
10315 20220917  1    7.2    8.4   11.5   16.1   75.1    4.0   17.0    8.5    4.7    3.4 1005.4
10315 20220916  1    9.7   10.1   12.9   17.6   75.3    3.0   15.4    7.0          10.0 1002.6
10315 20220915  1    7.6    9.7   14.5   19.8   74.2    3.0   12.2    1.6    7.0    0.2 1001.1
10315 20220914  1    8.5   11.3   13.9   17.1   85.8    1.0    3.4    0.0    7.8    0.0 1000.1
10315 20220913  1   11.3   13.3   18.2   24.0   73.7    2.0    8.2    3.3    7.7    0.0 1003.3
10315 20220912  1    8.5   10.9   16.9   24.0   77.2    2.0    8.2    7.5    5.8    0.0 1008.6
10315 20220911  1   10.5   12.4   16.5   22.4   83.1    2.0    5.5    4.9    4.8    0.0 1012.1
10315 20220910  1   11.3   13.8   16.2   19.3   87.7    2.0    6.2    1.9    7.5    1.2 1005.6
10315 20220909  1   12.9   13.9   16.5   22.2   82.3    2.0   14.1    3.5    7.5    5.8 1002.5
10315 20220908  1   12.3   14.3   17.4   22.4   80.9    2.0    8.6    2.8    6.5    9.2 1002.2
10315 20220907  1   12.2   15.0   19.3   24.1   79.0    2.0    8.7    5.0    7.3    4.3 1006.3
10315 20220906  1   16.9   17.7   23.5   30.4   54.6    2.0    7.7    8.7    5.0    1.4 1008.7
10315 20220905  1   12.5   14.8   22.9   30.3   53.3           6.7    9.1    7.1    0.0 1013.0
10315 20220904  1   10.4   12.9   20.6   28.2   57.1    1.0    5.7    8.5    5.1    0.0 1011.9
10315 20220903  1   11.8   14.7   20.4   26.2   45.0                 10.2    3.4    0.0 1007.2
10315 20220902  1    8.7   11.9   19.5   26.1   44.9    2.0    8.9   10.4    3.2    0.0 1010.2
10315 20220901  1    6.4   10.7   18.4   24.4   50.0    2.0    9.1    9.7    1.6    0.0 1015.0
10315 20220831  1    8.5   12.8   17.5   23.6   57.0    2.0   10.3   10.4    4.1    0.0 1016.3
10315 20220830  1    9.9   12.1   18.5   24.2   64.8    2.0    8.1   12.1    4.4    0.0 1015.3
10315 20220829  1    5.3    7.6   16.3   24.2   71.1    2.0    6.7    7.1    5.0    0.0 1015.3
10315 20220828  1    6.6    9.7   16.4   23.1   64.1    2.0   11.7    9.9    3.1    0.0 1014.0
10315 20220827  1   11.9   14.5   18.6   21.7   68.1    3.0    8.6    0.3    6.9    0.0 1010.6
10315 20220826  1   14.1   16.2   20.3   26.1   78.8    2.0    9.8    1.6    5.5    0.0 1008.5
10315 20220825  1   15.6   18.7   25.1   31.4   51.5    2.0    9.9   12.3    1.1    0.0 1009.8
10315 20220824  1   14.9   16.9   25.2   32.8   47.8    1.0    5.1   12.0    2.9    0.0 1011.9
10315 20220823  1   14.6   16.6   23.7   30.8   50.8    2.0    7.7   12.5    3.6    0.0 1009.5
10315 20220822  1   10.6   12.9   20.7   28.9   63.1    2.0    7.2    6.3    5.8    0.0 1009.3
10315 20220821  1   10.4   11.8   19.3   25.7   65.5    2.0    9.9   10.4    4.3    0.0 1010.1
10315 20220820  1   12.7   14.8   20.3   24.7   73.8    2.0    9.1    5.1    5.7    0.0 1010.0
10315 20220819  1   11.7   13.8   21.3   28.0   69.0    2.0    8.2    7.2    5.8   11.1 1007.4
10315 20220818  3   12.5   15.6   20.3   25.5   78.1    2.0    7.2    4.9    5.7    0.0 1006.7
10315 20220817  3   14.2   16.2   22.2   29.3   70.0    2.0   15.3    2.4    5.6    0.9 1004.3
10315 20220816  3   15.9   18.9   24.0   30.8   57.0    2.0    9.8    8.9    4.5    0.0 1002.1
10315 20220815  3   18.5   20.2   23.8   27.2   56.6    2.0    8.4    2.6    6.7    0.0  998.3
10315 20220814  3   17.4   19.7   26.0   32.0   51.0    2.0    8.9   11.9    3.3    0.0 1002.8
10315 20220813  3   10.8   13.8   24.6   31.5   45.3    2.0   10.5   12.7    1.1    0.0 1010.5
10315 20220812  3   11.0   14.3   24.4   31.8   41.2    2.0    9.1   13.9    0.1    0.0 1013.1
10315 20220811  3   10.4   13.1   23.4   31.3   46.2    2.0    7.7   14.0    1.0    0.0 1016.0
10315 20220810  3    9.6   12.5   22.2   29.5   54.8    2.0   11.7   14.0    2.4    0.0 1019.5
10315 20220809  3    9.2   12.2   20.3   27.2   62.8    2.0    8.2   14.1    0.7    0.0 1021.4
10315 20220808  3    7.8    9.9   18.5   24.8   61.6    2.0    8.2   11.3    2.3    0.0 1019.3
10315 20220807  3    6.5    8.4   17.6   24.8   59.5    1.0    5.7   11.9    2.5    0.0 1018.7
10315 20220806  3    6.0    7.9   15.4   23.0   65.4    2.0    6.7   10.4    3.0    0.0 1020.7
10315 20220805  3    8.6   11.4   17.7   22.9   72.2    2.0   11.5    5.1    4.8    3.0 1012.0
10315 20220804  3   16.9   19.1   25.0   34.2   61.3    2.0   13.7    7.2    5.6    2.1 1006.9
10315 20220803  3   13.9   15.5   24.3   32.5   61.0    2.0    8.9   13.8    3.9    0.0 1008.7
10315 20220802  3    7.5    9.4   20.2   28.7   66.2    2.0   10.3   13.5    5.0    0.0 1010.9
10315 20220801  3    9.9   12.0   18.9   22.8   77.5    2.0    7.0    2.3    6.2    0.9 1011.2
10315 20220731  3   12.9   14.8   19.8   24.8   73.9    3.0   11.8    0.5    7.1    5.3 1009.7
10315 20220730  3    9.6   11.9   19.8   26.4   62.7    2.0    8.7   11.4    3.8    0.0 1011.7
10315 20220729  3   12.1   14.3   18.6   23.6   62.7    2.0    7.2    1.0    6.8    0.5 1010.5
10315 20220728  3    6.0    8.1   16.9   23.3   59.8    2.0    8.7   12.4    6.2    0.0 1012.8
10315 20220727  3    7.6   10.1   15.7   21.2   64.1    2.0           3.0    5.8    0.0 1013.7
10315 20220726  3   11.3   13.3   18.1   20.6   69.1    3.0    9.8    1.4    6.7    5.7 1009.6
10315 20220725  3   14.9   17.5   23.7   30.8   55.5    3.0   13.2    6.7    5.5    0.0 1003.5
10315 20220724  3   11.5   13.5   22.7   30.0   60.1    2.0   10.3   14.1    4.1    0.0 1011.0
10315 20220723  3   12.6   13.4   18.3   24.3   69.4    2.0    7.7   13.3    3.3    0.0 1013.2
10315 20220722  3   11.4   13.2   17.1   20.5   73.7    2.0    7.5    0.1    7.3    2.3 1013.7
10315 20220721  3   16.1   16.2   19.6   24.2   83.9    3.0   10.5    2.4    7.5    0.5 1011.8
10315 20220720  3   19.6   19.9   27.7   34.2   42.7    3.0   11.7   12.6    2.8   21.7 1009.6
10315 20220719  3   10.8   14.2   28.1   38.0   36.3    2.0    7.7   14.6    0.8    0.0 1011.0
10315 20220718  3    7.1   10.4   23.1   34.0   45.3    2.0    8.4   13.7    4.8    0.0 1016.0
10315 20220717  3    3.3    7.0   18.0   26.7   54.0    2.0    6.2   14.6    4.0    0.0 1020.6
10315 20220716  3    5.3   10.1   17.8   22.7   55.3    3.0   11.7   11.2    3.8    0.0 1017.1
10315 20220715  3    4.3    9.0   16.6   22.0   60.3    2.0    9.1    5.1    4.9    0.0 1015.6
10315 20220714  3    6.4   10.6   17.5   23.7   63.0    2.0   12.2    9.6    4.6    0.0 1014.0
10315 20220713  3   10.9   14.5   23.9   31.1   55.5    3.0   12.7    7.0    6.0    0.0 1013.3
10315 20220712  3    6.7    9.8   20.4   29.1   65.7    1.0    7.4   11.1    5.6    0.0 1017.9
10315 20220711  3    8.1   12.1   17.1   21.4   81.5    2.0    6.9    1.0    6.4    0.0 1017.5
10315 20220710  3   11.9   12.9   15.3   17.4   79.5    2.0    9.1    0.7    7.3    1.5 1018.4
10315 20220709  3   12.7   13.7   18.2   24.3   69.0    3.0   12.5    6.6    7.0    0.0 1019.8
10315 20220708  3   12.7   13.4   17.7   23.4   67.7    3.0    9.6    3.3    6.7    0.0 1023.2
10315 20220707  3   13.9   14.3   16.4   19.3   74.8    3.0   13.9    1.8    7.3    2.4 1015.6
10315 20220706  3    5.8    9.6   16.1   21.7   63.6    2.0    9.8    2.4    6.5    1.6 1017.5
10315 20220705  3    7.8   10.6   17.4   23.9   59.0    2.0   11.0    6.3    4.8    0.0 1015.9
10315 20220704  3    7.0   10.6   18.0   24.6   62.4    2.0    9.9   11.6    2.5    0.0 1013.6
10315 20220703  3   10.6   13.1   20.5   27.2   57.7    2.0   14.7   11.5    2.9    0.0 1011.3
10315 20220702  3    6.7    9.4   19.3   26.7   57.1    2.0    9.3   12.5    2.7    0.0 1014.5
10315 20220701  3    8.4   11.6   17.3   22.9   65.4    3.0   10.1    5.9    6.0    0.0 1011.6
10315 20220630  3   13.4   14.8   23.4   31.5   61.6    2.0   19.0   11.1    3.8    6.7 1004.8
10315 20220629  3    7.3   11.3   20.7   27.6   60.7    2.0    6.7    2.6    5.3    0.0 1008.4
10315 20220628  3    7.1    9.8   18.2   25.3   64.9    2.0    9.6   11.9    2.8    0.0 1014.3
10315 20220627  3   11.7   13.2   17.1   20.4   83.0    2.0    8.2    0.2    7.0    2.1 1010.3
10315 20220626  3   15.1   16.8   20.1   23.7   65.0    2.0    9.8    4.3    6.8    0.6 1008.7
10315 20220625  3   12.3   15.1   21.8   27.9   63.1    2.0   10.1   12.7    5.0    0.0 1005.3
10315 20220624  3   14.2   17.4   21.8   25.3   68.1    2.0    8.9    3.6    5.9    2.4 1000.8
10315 20220623  3    6.9   11.9   24.6   32.8   45.1    2.0    8.7   15.4    0.7    0.4 1005.0
10315 20220622  3    6.1   10.6   20.4   27.6   48.3    2.0    8.9   15.5    1.9    0.0 1006.9
10315 20220621  3    1.3    6.0   16.4   23.8   58.7    2.0    6.2   11.8    5.0    0.0 1009.0
10315 20220620  3    4.6    9.6   15.5   21.3   64.0    3.0   10.3    6.6    5.0    0.0 1008.8
10315 20220619  3   11.6   12.5   16.9   21.5   68.0    3.0   11.7    6.8    5.8    0.2 1004.8
10315 20220618  3   11.4   14.7   24.2   32.4   57.0    3.0    9.8   12.8    3.4    0.0 1009.2
10315 20220617  3    5.5    9.4   20.4   29.3   54.8    2.0    7.7    9.2    5.9    0.0 1016.4
10315 20220616  3    6.7   10.1   17.6   24.7   56.3    2.0    9.9   11.0    4.0    0.0 1015.8
10315 20220615  3    3.6    8.6   18.7   26.7   53.8    2.0    8.7   15.1    3.4    0.0 1012.6
10315 20220614  3    2.2    6.3   14.7   21.1   64.4    2.0    6.9   12.8    3.8    0.0 1016.3
10315 20220613  3    4.1    8.7   14.7   20.8   66.9    3.0   14.4    8.3    3.8    0.3 1015.3
10315 20220612  3    5.9   10.3   17.9   24.5   58.6    3.0   11.3   13.1    4.5    0.6 1015.1
10315 20220611  3   10.5   14.2   20.5   25.1   57.2    3.0   10.6   12.9    3.5    0.0 1015.5
10315 20220610  3    4.5    7.7   17.0   23.2   74.3    2.0    9.4    3.5    5.8    0.0 1015.1
10315 20220609  3    6.1    9.8   16.6   21.2   74.3    3.0   10.8    3.2    5.9    0.0 1007.6
10315 20220608  3    7.1   10.2   15.9   22.1   83.3    2.0   15.4    2.0    6.8    4.5 1001.7
10315 20220607  3    9.3   11.8   16.0   20.9   75.4    3.0   11.7    2.6    6.8    0.1 1005.8
10315 20220606  3   11.5   12.0   16.6   21.5   70.3    4.0   17.1    5.3    6.7    0.8 1007.1
10315 20220605  3   12.6   13.7   18.4   24.1   72.4    3.0   14.2    2.3    7.2    2.3 1007.8
10315 20220604  3   10.5   11.6   17.9   24.2   60.1    3.0   10.5    9.6    4.3    0.0 1014.0
10315 20220603  3    3.7    7.7   16.9   23.7   60.5    2.0    9.9   12.5    4.2    0.0 1012.8
10315 20220602  3    2.0    4.7   13.1   19.6   69.8    1.0    8.1   11.5    2.8    0.0 1014.9
10315 20220601  3    4.0    6.8   11.6   18.4   79.8    2.0   17.0    3.2    5.6    7.1 1008.7
10315 20220531  3    0.4    4.0   12.3   18.6   64.8    2.0    8.7    6.0    5.8    0.0 1007.4
10315 20220530  3    1.2    5.8   10.6   14.6   69.1    2.0    6.7    1.0    7.0    0.0 1007.5
10315 20220529  3    5.0    6.9   10.3   14.7   75.5    3.0    9.4    0.9    7.0    0.1 1007.9
10315 20220528  3    5.2    7.0   12.0   16.5   66.2    3.0   12.3    7.0    4.3    0.0 1012.8
10315 20220527  3    9.0   10.5   14.5   18.4   65.2    4.0   17.5    9.5    5.3    0.2 1013.0
10315 20220526  3   13.9   14.7   17.1   20.4   65.7    4.0   13.9    1.7    7.5    4.9 1012.3
10315 20220525  3    3.9    6.9   14.7   19.9   64.4    3.0   12.9    7.0    5.3    0.0 1008.1
10315 20220524  3    7.7    9.7   13.8   18.3   78.1    3.0   13.9    3.2    6.5    1.4  999.5
10315 20220523  3   12.3   13.7   18.7   25.8   67.6    3.0   13.9    4.0    7.0    6.6  996.1
10315 20220522  3    2.5    5.5   14.6   20.7   65.5    1.0    6.5   12.8    5.5    0.0 1009.7
10315 20220521  3    4.9    8.3   14.6   19.5   69.6    3.0   11.8    2.6    6.3    0.0 1013.4
10315 20220520  3    8.7   10.7   16.2   23.1   78.1    3.0   19.9    7.5    6.2    4.1 1011.5
10315 20220519  3   10.6   13.2   19.7   29.2   73.6    2.0   29.2    5.0    6.4   11.0 1012.3
10315 20220518  3   12.8   14.8   22.4   30.3   60.0    2.0    7.9   10.5    6.2    0.0 1014.1
10315 20220517  3    5.7    9.5   16.9   22.0   74.4    2.0    7.2    6.1    6.2    0.0 1014.5
10315 20220516  3    7.4   10.8   18.9   24.2   63.4    2.0   10.5    3.9    5.7    0.4 1010.0
10315 20220515  3    2.7    6.7   17.6   24.6   55.1    2.0    7.5   14.4    4.5    0.0 1013.3
10315 20220514  3    4.0    7.9   15.3   22.5   62.0    2.0    8.2   10.8    3.9    0.0 1014.6
10315 20220513  3    3.2    8.1   14.0   19.7   61.8    3.0   13.9    5.0    6.0    0.0 1012.4
10315 20220512  3    5.2    8.8   14.9   20.3   59.0    3.0   14.4   10.9    4.8    0.0 1010.7
10315 20220511  3   13.2   14.4   19.7   25.3   52.3    3.0   14.1   12.1    6.0    1.3 1004.1
10315 20220510  3    7.1   10.9   18.4   25.4   61.5    3.0   13.2    3.7    6.9    0.0 1010.6
10315 20220509  3   -1.3    3.4   15.2   24.4   61.7    2.0   10.8   13.3    2.4    0.0 1018.6
10315 20220508  3    2.1    6.9   11.8   17.8   63.0    2.0    8.2   12.7    2.5    0.0 1021.3
10315 20220507  3    3.8    7.5   14.4   23.0   74.2    2.0    9.6    5.2    6.3    2.6 1017.1
10315 20220506  3   -0.5    4.2   14.0   22.1   64.4    2.0    8.7   11.4    2.7    0.0 1018.0
10315 20220505  3    1.7    6.7   12.9   19.3   59.7    1.0    5.5    7.9    6.2    0.0 1015.7
10315 20220504  3   -1.2    3.0   10.7   17.8   64.5    2.0    7.5   10.9    4.4    0.0 1012.3
10315 20220503  3   -1.7    2.6   10.9   17.0   63.7    2.0    6.9    8.2    4.0    0.0 1012.5
10315 20220502  3   -1.7    2.7   12.1   19.1   61.7    2.0    9.3   10.9    1.8    0.0 1013.1
10315 20220501  3    2.4    5.6   10.6   14.2   62.8    2.0    4.6    0.3    7.2    0.0 1017.1
10315 20220430  3    0.0    3.8    9.6   14.8   64.5    2.0    8.6    5.8    6.5    0.0 1019.7
10315 20220429  3   -0.4    3.5    9.0   14.1   72.0    3.0    9.6    2.5    7.2    0.0 1022.5
10315 20220428  3   -3.5    0.5    9.0   16.2   68.6    2.0    8.2   12.8    2.5    0.0 1023.6
10315 20220427  3   -2.7    1.0    8.8   16.0   66.1    2.0    7.7   13.4    1.3    0.0 1019.5
10315 20220426  3    0.0    3.8    9.8   15.5   73.5    3.0    9.8   10.4    3.2    0.0 1011.4
10315 20220425  3    2.9    5.5    8.3   10.8   88.1    2.0    6.7    0.0    7.7    0.8 1005.7
10315 20220424  3    5.9    7.1   11.4   16.6   61.0    3.0   12.5   10.2    3.0    1.4  999.0
10315 20220423  3    6.8    9.8   13.4   17.4   55.4    3.0   13.2   12.1    3.2    0.0 1000.1
10315 20220422  3    6.6    8.0   12.1   16.2   68.6    3.0   12.0    5.1    4.9    0.0 1002.2
10315 20220421  3    1.6    5.0   11.0   15.8   63.0    2.0   10.6    7.9    6.2    0.0 1007.2
10315 20220420  3   -1.5    2.8   10.8   16.2   54.2    2.0   12.3   13.2    1.7    0.0 1010.5
10315 20220419  3   -1.2    2.1   10.6   16.3   55.3    2.0   10.3   13.1    1.8    0.0 1009.4
10315 20220418  3   -0.4    4.6   12.0   18.8   45.1    2.0    6.2   13.1    0.8    0.0 1012.8
10315 20220417  3   -3.0    0.8   10.7   17.1   44.8    2.0    8.2   13.1    0.9    0.0 1021.3
10315 20220416  3   -0.8    3.4    9.1   14.2   60.5    2.0    9.8   12.4    1.4    0.0 1026.6
10315 20220415  3    0.1    3.9    7.7   10.3   84.2    2.0    6.0    0.0    5.6    0.0 1021.5
10315 20220414  3    3.5    7.6   13.5   18.5   78.3    2.0    8.2    4.5    5.2    0.0 1014.8
10315 20220413  3    5.4    8.6   15.2   21.3   68.4    2.0    9.1    6.6    6.9    2.1 1009.7
10315 20220412  3    5.0    7.7   14.6   21.4   49.5    2.0    9.9    8.9    7.0    0.0 1005.4
10315 20220411  3   -2.6   -0.6    7.8   14.5   62.0    2.0    8.7    9.7    6.5    0.0 1011.4
10315 20220410  3   -2.3   -0.1    4.6   10.0   79.2    2.0   11.1    7.8    3.9    0.6 1012.9
10315 20220409  3    0.3    1.9    4.5    9.4   81.7    4.0   18.3    5.8    4.8    5.0 1002.9
10315 20220408  3    1.6    3.6    6.3    9.0   70.7    4.0   15.8    4.3    7.0    0.0  990.7
10315 20220407  3    4.6    4.3    8.8   11.8   75.3    5.0   30.5    3.2    7.0   18.4  979.8
10315 20220406  3    7.7    9.1    9.8   11.0   77.9    4.0   15.8    0.0    7.5    1.5  993.0
10315 20220405  3    5.7    6.2    8.8   13.1   90.8    3.0   14.2    0.4    7.3    4.0  997.7
10315 20220404  3    0.7    1.6    4.6    7.2   83.8    4.0   20.2    0.0    7.7   14.3 1001.8
10315 20220403  3   -7.2   -3.6    2.1    8.9   76.1    2.0   10.5    3.1    5.8    1.1 1014.8
10315 20220402  3   -4.5   -0.3    2.9    6.9   58.8    3.0   13.7    2.9    6.7    0.0 1011.3
10315 20220401  3   -0.5   -0.5    0.8    2.6   84.8    4.0   13.5    0.0    7.8    0.6 1002.4
10315 20220331  3   -1.2    0.1    3.6    7.2   83.6    2.0   12.3    0.0    7.6    3.6  994.7
10315 20220330  3   -3.7   -0.6    4.5    9.4   79.0    2.0    7.7    4.1    6.0    0.4  998.8
10315 20220329  3   -3.0    1.4    7.2   12.7   75.3    2.0    6.7    7.0    4.4    0.0 1006.5
10315 20220328  3   -1.3    1.2    7.3   14.2   80.5    2.0    6.3   11.1    1.9    0.0 1015.9
10315 20220327  3    0.0    3.8    9.1   15.2   73.3    2.0    7.5   11.4    2.2    0.0 1024.5
10315 20220326  3   -2.4    1.3   10.1   18.3   68.9    2.0    9.1   10.1    2.7    0.0 1025.3
10315 20220325  3   -3.2    0.2    8.9   17.1   61.9    2.0    8.7   10.0    1.4    0.0 1023.9
10315 20220324  3   -3.4    0.1    9.0   18.4   54.5    1.0    6.2   10.9    0.0    0.0 1022.7
10315 20220323  3   -4.3   -0.5    9.5   19.0   53.5    1.0    4.5   11.3    0.0    0.0 1024.1
10315 20220322  3   -1.4    3.4   11.4   19.1   49.5    2.0    6.5   10.9    2.3    0.0 1025.4
10315 20220321  3   -1.1    2.0   10.3   17.6   63.3    1.0    5.5   10.3    1.8    0.0 1024.8
10315 20220320  3    0.9    2.6    7.8   14.0   58.5    3.0   13.2    6.3    4.7    0.0 1024.1
10315 20220319  3   -2.3    2.1    7.6   11.7   61.8    2.0   11.8   10.0    0.7    0.0 1035.5
10315 20220318  3   -4.9   -2.2    6.4   13.9   72.3    2.0    8.4   11.0    1.3    0.0 1036.5
10315 20220317  3   -2.7    0.9    8.1   10.2   71.8    2.0   14.6    0.3    6.7    0.8 1022.2
10315 20220316  3   -2.8   -0.9    8.1   14.7   72.5    2.0   11.8    7.3    5.7    0.0 1018.1
10315 20220315  3   -2.0    1.1    6.5   12.1   81.9    1.0    4.5    0.7    5.3    0.0 1019.4
10315 20220314  3   -0.3    2.0    8.3   13.2   76.8    2.0   11.0    3.1    6.0    6.4 1017.8
10315 20220313  3    0.4    4.3   10.2   16.6   41.8    2.0    6.9   10.5    5.6    4.1 1009.6
10315 20220312  3    2.4    4.2    9.3   14.9   46.5    2.0    8.6    6.8    6.5    0.0 1011.4
10315 20220311  3    1.1    3.3    8.0   13.1   42.8    3.0   12.2   10.5    1.3    0.0 1011.9
10315 20220310  3   -6.0   -1.2    8.1   16.0   46.4    2.0    8.7   10.6    1.8    0.0 1018.0
10315 20220309  3   -5.7   -0.1    5.9   13.3   47.0    2.0    7.2   10.5    0.4    0.0 1017.4
10315 20220308  3   -5.8   -1.0    4.9   10.8   54.0    2.0   10.6   10.5    0.3    0.0 1017.3
10315 20220307  3   -8.1   -4.0    2.2    7.7   70.6    2.0    7.2    9.9    2.1    0.0 1020.8
10315 20220306  3   -7.6   -3.5    0.7    5.3   70.2    2.0    8.9    8.1    2.8    0.0 1019.8
10315 20220305  3   -6.3   -1.6    2.5    8.3   64.8    2.0    6.7   10.1    0.3    0.0 1016.0
10315 20220304  3   -5.6   -2.4    1.7    7.8   73.5    2.0    8.1   10.1    0.0    0.0 1016.1
10315 20220303  3   -6.4   -4.0    3.5   10.5   62.4    2.0    8.2   10.1    0.5    0.0 1014.2
10315 20220302  3   -4.4   -0.8    5.0   11.0   55.8    1.0    7.4    9.6    3.0    0.0 1018.1
10315 20220301  3   -1.2    0.4    4.7    9.1   60.4    2.0    5.5    2.9    5.8    0.0 1022.4
10315 20220228  3   -3.9   -0.3    4.8   10.5   60.2    2.0    7.7    9.9    0.3    0.0 1025.0
10315 20220227  3   -4.5   -1.9    3.8    9.1   67.5    2.0   10.6    9.8    0.0    0.0 1026.9
10315 20220226  3   -4.4   -2.6    2.5    8.5   80.1    1.0    4.6    9.5    1.3    0.0 1027.7
10315 20220225  3   -1.5    1.5    3.8    7.8   79.8    4.0   15.3    3.6    4.3    1.6 1013.9
10315 20220224  3    1.2    2.5    7.1   11.0   69.9    4.0   23.0    2.4    6.9    1.3 1004.2
10315 20220223  3    0.1    2.7    6.9   11.0   71.0    3.0   11.7    9.4    2.2    0.0 1015.7
10315 20220222  3    1.0    2.6    5.9    9.0   83.8    4.0   15.4    1.2    5.6    5.3 1008.7
10315 20220221  3    1.9    3.0    5.3    7.1   79.3    5.0   20.2    0.1    6.9    5.2  992.1
10315 20220220  3    3.4    3.9    7.7   10.6   86.0    5.0   25.0    0.0    8.0   14.1  996.0
10315 20220219  3    3.0    3.4    5.8    7.8   65.5    5.0   26.1    2.0    6.9    5.5 1001.4
10315 20220218  3    3.7    5.1    7.8   12.5   76.8    5.0   34.0    0.2    6.9    5.9  992.7
10315 20220217  3    3.3    5.1    8.6   12.2   64.4    6.0   29.7    2.2    5.9    3.0  994.5
10315 20220216  3    6.8    7.2   10.0   12.7   91.2    4.0   24.7    0.0    8.0   12.4  989.1
